"Lake","Var_type","Variable","n","Mean","Median","Min","Max","CI_low","CI_high"
"Ōkāreka","Fish","Presence_Catfish",12,0,0,0,0,0,0
"Rotorua","Fish","Presence_Common_smelt",12,0.25,0,0,1,-0.0373567530965217,0.537356753096522
"Rotoiti","Fish","Presence_Common_smelt",12,0.666666666666667,1,0,1,0.353832258120263,0.97950107521307
"Rotoehu","Fish","Presence_Common_smelt",12,0.5,0.5,0,1,0.168189002492533,0.831810997507467
"Rotomā","Fish","Presence_Common_smelt",12,0.416666666666667,0,0,1,0.0894966109726594,0.743836722360674
"Ōkāreka","Fish","Presence_Common_smelt",12,0.583333333333333,1,0,1,0.256163277639326,0.910503389027341
"Rotorua","Fish","Presence_Eel",12,0.333333333333333,0,0,1,0.0204989247869297,0.646167741879737
"Rotoiti","Fish","Presence_Eel",12,0.0833333333333333,0,0,1,-0.100082096674303,0.26674876334097
"Rotoehu","Fish","Presence_Eel",12,0,0,0,0,0,0
"Rotomā","Fish","Presence_Eel",12,0.25,0,0,1,-0.0373567530965217,0.537356753096522
"Ōkāreka","Fish","Presence_Eel",12,0,0,0,0,0,0
"Rotorua","Fish","Presence_Goldfish",12,0.0833333333333333,0,0,1,-0.100082096674303,0.26674876334097
"Rotoiti","Fish","Presence_Goldfish",12,0.666666666666667,1,0,1,0.353832258120263,0.97950107521307
"Rotoehu","Fish","Presence_Goldfish",12,1,1,1,1,1,1
"Rotomā","Fish","Presence_Goldfish",12,0.5,0.5,0,1,0.168189002492533,0.831810997507467
"Ōkāreka","Fish","Presence_Goldfish",12,0.25,0,0,1,-0.0373567530965217,0.537356753096522
"Rotorua","Fish","Presence_Kōaro",12,0,0,0,0,0,0
"Rotoiti","Fish","Presence_Kōaro",12,0,0,0,0,0,0
"Rotoehu","Fish","Presence_Kōaro",12,0,0,0,0,0,0
"Rotomā","Fish","Presence_Kōaro",12,0,0,0,0,0,0
"Ōkāreka","Fish","Presence_Kōaro",12,0.666666666666667,1,0,1,0.353832258120263,0.97950107521307
"Rotorua","Fish","Presence_Trout",12,0.166666666666667,0,0,1,-0.0806506487029033,0.413983982036237
"Rotoiti","Fish","Presence_Trout",12,0.166666666666667,0,0,1,-0.0806506487029033,0.413983982036237
"Rotoehu","Fish","Presence_Trout",12,0,0,0,0,0,0
"Rotomā","Fish","Presence_Trout",12,0,0,0,0,0,0
"Ōkāreka","Fish","Presence_Trout",12,0.166666666666667,0,0,1,-0.0806506487029033,0.413983982036237
