"Site_ID","Lake","LID","Monitoring_ID","Lat","Lon","Site_size","DHT","Date_Time","Weather","Lake_water_clarity_m","Sediment_sample","Macrophyte_sample","Distance_5m","Distance_20m","Distance_deep","Calculated_slope","Notes","Size_m2","Perimter_m","Size_km2","Perimter_km","Catchment_size_km2","Mean_depth_m","Max_depth_m","Volume_km3","Elevation_m","Mixing","TLI","Trophic_state","LakeSPI"
78,"Rotoiti",54730,"78_0",-38.04199,176.3709,NA,"Sandy",2025-01-15 12:30:00,"Sunny",3.5,1,1,134.630729995109,367.646537523441,365.236397766362,0.0547590550183714,"Kakahi",33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",4.1,"Eutrophic",24.8
79,"Rotoiti",54730,"79_0",-38.0126473390111,176.369793141525,NA,"Emergent Macrophyte",2025-01-16 12:17:00,"Little Rain",3.5,1,1,109.038802370766,1088.63526201911,1087.1160731861,0.0183972995095035,"Re located a little",33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",4.1,"Eutrophic",24.8
80,"Rotoiti",54730,"80_0",-38.0328958552285,176.352020200434,NA,"Emergent Macrophyte",2025-01-15 10:50:00,"Sunny",3,1,1,76.2622537040705,473.881552906032,471.962074330421,0.042376286332698,"Re located a little",33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",4.1,"Eutrophic",24.8
81,"Rotoiti",54730,"81_0",-38.05074,176.4181,NA,"Sandy",2025-01-16 14:52:00,"Rain",3.5,1,1,31.7269199784361,201.736500112727,174.996338543086,0.11428810549128,"Kakahi",33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",4.1,"Eutrophic",24.8
82,"Rotoiti",54730,"82_0",-38.04471,176.3388,NA,"Sandy",2025-01-15 10:20:00,"Sunny",3.5,1,1,81.1704431379574,1367.54466670901,1366.67904264963,0.0146340138217275,"Kakahi",33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",4.1,"Eutrophic",24.8
83,"Rotoiti",54730,"83_0",-38.01494,176.3882,NA,"Rocky",2025-01-16 12:40:00,"Rain",3.5,1,1,16.5017772484988,56.6721201555145,56.312002703404,0.355164068757068,"Little cliff",33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",4.1,"Eutrophic",24.8
84,"Rotoiti",54730,"84_0",-38.02867,176.3724,NA,"Sandy",2025-01-15 11:57:00,"Sunny",3.5,1,1,112.232822120845,260.512701999589,259.786453789301,0.0769863082092068,NA,33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",4.1,"Eutrophic",24.8
85,"Rotoehu",40188,"85_0",-38.01509,176.5379,NA,"Sandy",2024-12-10 10:45:00,"Sunny",3.4,1,1,110.338362712395,NA,109.762152541457,0.0455530425035306,NA,7926889.28599053,39745.7375539529,7.92688928599053,39.7457375539529,49.2,8,13.5,0.061,295,"Polymictic",4.3,"Eutrophic",16.9
86,"Rotoehu",40188,"86_0",-38.00063,176.5327,NA,"Emergent Macrophyte",2024-12-10 11:30:00,"Sunny",4,1,1,29.7909216149725,NA,29.608065140077,0.168872905958049,NA,7926889.28599053,39745.7375539529,7.92688928599053,39.7457375539529,49.2,8,13.5,0.061,295,"Polymictic",4.3,"Eutrophic",16.9
87,"Rotoehu",40188,"87_0",-38.00663,176.5212,NA,"Sandy",2024-12-10 13:00:00,"Sunny",3.3,1,1,78.7926128316176,NA,78.7889268053283,0.0634606943226172,NA,7926889.28599053,39745.7375539529,7.92688928599053,39.7457375539529,49.2,8,13.5,0.061,295,"Polymictic",4.3,"Eutrophic",16.9
88,"Rotoehu",40188,"88_0",-38.03334,176.5261,NA,"Sandy",2024-12-11 17:30:00,"Sunny",3.4,1,1,132.646044707064,NA,131.908502903605,0.0379050621448858,NA,7926889.28599053,39745.7375539529,7.92688928599053,39.7457375539529,49.2,8,13.5,0.061,295,"Polymictic",4.3,"Eutrophic",16.9
89,"Rotoehu",40188,"89_0",-37.99952,176.537,NA,"Emergent Macrophyte",2024-12-10 12:17:00,"Sunny",3.4,1,1,170.468039942681,NA,170.312698842019,0.0293577638895733,"also little sandy",7926889.28599053,39745.7375539529,7.92688928599053,39.7457375539529,49.2,8,13.5,0.061,295,"Polymictic",4.3,"Eutrophic",16.9
90,"Rotoehu",40188,"90_0",-37.99986,176.5215,NA,"Sandy",2024-12-10 12:45:00,"Sunny",3.4,1,1,85.1881757402259,NA,84.527911993492,0.05915205855771,NA,7926889.28599053,39745.7375539529,7.92688928599053,39.7457375539529,49.2,8,13.5,0.061,295,"Polymictic",4.3,"Eutrophic",16.9
91,"Rotoehu",40188,"91_0",-38.0143,176.5179,NA,"Sandy",2024-12-11 15:55:00,"Cloudy",3.4,1,1,60.8609339586129,NA,60.7338903342372,0.0823263580265231,NA,7926889.28599053,39745.7375539529,7.92688928599053,39.7457375539529,49.2,8,13.5,0.061,295,"Polymictic",4.3,"Eutrophic",16.9
92,"Rotoehu",40188,"92_0",-38.03574,176.5167,NA,"Emergent Macrophyte",2024-12-11 17:00:00,"Sunny",3.4,1,1,242.351268085741,NA,241.86196155345,0.0206729490155691,NA,7926889.28599053,39745.7375539529,7.92688928599053,39.7457375539529,49.2,8,13.5,0.061,295,"Polymictic",4.3,"Eutrophic",16.9
93,"Rotoehu",40188,"93_0",-38.00562,176.5442,NA,"Emergent Macrophyte",2024-12-10 11:20:00,"Sunny",3.4,1,1,159.634246481691,NA,157.403293407812,0.031765536106323,NA,7926889.28599053,39745.7375539529,7.92688928599053,39.7457375539529,49.2,8,13.5,0.061,295,"Polymictic",4.3,"Eutrophic",16.9
94,"Rotoehu",40188,"94_0",-38.01219,176.5122,NA,"Sandy",2024-12-11 15:38:00,"Cloudy",3.4,1,1,74.2198863511671,NA,73.8193002366027,0.0677329639264284,NA,7926889.28599053,39745.7375539529,7.92688928599053,39.7457375539529,49.2,8,13.5,0.061,295,"Polymictic",4.3,"Eutrophic",16.9
95,"Rotoehu",40188,"95_0",-38.02335,176.5232,NA,"Rocky",2024-12-11 16:14:00,"Sunny",3.4,1,1,18.364874676005,NA,18.364874676005,0.272258868530851,NA,7926889.28599053,39745.7375539529,7.92688928599053,39.7457375539529,49.2,8,13.5,0.061,295,"Polymictic",4.3,"Eutrophic",16.9
96,"Rotoehu",40188,"96_0",-38.0279864650977,176.516643669093,NA,"Sandy",2024-12-11 16:44:00,"Sunny",2.9,1,1,80.1449007371997,NA,75.4629505257541,0.0662576796317233,"relocated son now on beach but in between cliffs with many rocks",7926889.28599053,39745.7375539529,7.92688928599053,39.7457375539529,49.2,8,13.5,0.061,295,"Polymictic",4.3,"Eutrophic",16.9
97,"Rotomā",40102,"97_0",-38.03192,176.5593,NA,"Sandy",2024-11-06 11:15:00,"Cloudy",7.6,1,1,53.217273746614,127.058733966396,126.009846508404,0.158717755430851,NA,11137002.6670586,23686.3956326948,11.1370026670586,23.6863956326948,27.8,36.9,83,0.456,316,"Stratified",2.4,"Oligotrophic",51.6
98,"Rotomā",40102,"98_0",-38.03942,176.5778,NA,"Rocky",2024-11-06 12:15:00,"Cloudy",7.6,1,1,22.1358859314332,49.7590474375897,48.7136423915966,0.410562606655956,NA,11137002.6670586,23686.3956326948,11.1370026670586,23.6863956326948,27.8,36.9,83,0.456,316,"Stratified",2.4,"Oligotrophic",51.6
99,"Rotomā",40102,"99_0",-38.04339,176.5976,NA,"Sandy",2024-11-06 09:10:00,"Cloudy",7.6,1,1,78.1391192226858,146.840657949694,146.786508891309,0.136252303778199,"Dead standing trees on beach",11137002.6670586,23686.3956326948,11.1370026670586,23.6863956326948,27.8,36.9,83,0.456,316,"Stratified",2.4,"Oligotrophic",51.6
100,"Rotomā",40102,"100_0",-38.04971,176.5653,NA,"Emergent Macrophyte",2024-11-07 14:30:00,"Cloudy",7.6,0,0,630.728148242838,763.805567377251,763.788283079701,0.0261852668377645,"To deep for sediment or Macro",11137002.6670586,23686.3956326948,11.1370026670586,23.6863956326948,27.8,36.9,83,0.456,316,"Stratified",2.4,"Oligotrophic",51.6
101,"Rotomā",40102,"101_0",-38.02888,176.5752,NA,"Emergent Macrophyte",2024-11-06 10:45:00,"Cloudy",7.6,1,1,164.797658924659,199.568759298833,197.479843716441,0.101276158739105,"Dead Emergent Macrophyte in deeper part",11137002.6670586,23686.3956326948,11.1370026670586,23.6863956326948,27.8,36.9,83,0.456,316,"Stratified",2.4,"Oligotrophic",51.6
102,"Rotomā",40102,"102_0",-38.0198,176.5889,NA,"Rocky",2024-11-06 10:20:00,"Cloudy",7.6,0,0,32.3492755383488,74.865573586595,74.7216775696941,0.267659943546445,"To deep for sediment or Macro big boulders in the site",11137002.6670586,23686.3956326948,11.1370026670586,23.6863956326948,27.8,36.9,83,0.456,316,"Stratified",2.4,"Oligotrophic",51.6
