"Site_ID","Monitoring_ID","Weed_Type","Species","Scientific_name","Native_Status","Percentage_Cover"
98,"98_0","Submerged","Charophytes","Chara corallina/ Chara globularis","Native",5
98,"98_0","Turf",NA,NA,NA,0
99,"99_0","Emergent",NA,NA,NA,0
99,"99_0","Submerged",NA,NA,NA,0
99,"99_0","Turf",NA,NA,NA,0
100,"100_0","Emergent","Giant_spike_rush","Eleocharis sphacelata","Native",80
100,"100_0","Submerged","Lagarosiphon_(Oxygen_Weed)","Lagarosiphon major","Non_Native",20
100,"100_0","Turf",NA,NA,NA,0
101,"101_0","Emergent","Giant_spike_rush","Eleocharis sphacelata","Native",40
101,"101_0","Submerged","Lagarosiphon_(Oxygen_Weed)","Lagarosiphon major","Non_Native",10
101,"101_0","Turf",NA,NA,NA,0
102,"102_0","Emergent",NA,NA,NA,0
102,"102_0","Submerged","Lagarosiphon_(Oxygen_Weed)","Lagarosiphon major","Non_Native",10
102,"102_0","Turf",NA,NA,NA,0
103,"103_0","Emergent",NA,NA,NA,0
103,"103_0","Submerged",NA,NA,NA,0
103,"103_0","Turf",NA,NA,NA,0
104,"104_0","Emergent","Giant_spike_rush","Eleocharis sphacelata","Native",5
104,"104_0","Submerged","Lagarosiphon_(Oxygen_Weed)","Lagarosiphon major","Non_Native",85
104,"104_0","Turf",NA,NA,NA,0
105,"105_0","Emergent",NA,NA,NA,0
105,"105_0","Submerged",NA,NA,NA,0
105,"105_0","Turf",NA,NA,NA,0
106,"106_0","Emergent",NA,NA,NA,0
106,"106_0","Submerged","Lagarosiphon_(Oxygen_Weed)","Lagarosiphon major","Non_Native",10
106,"106_0","Turf",NA,NA,NA,0
107,"107_0","Emergent",NA,NA,NA,0
107,"107_0","Submerged",NA,NA,NA,0
107,"107_0","Turf",NA,NA,NA,0
108,"108_0","Emergent","Raupō_(Bulrush)","Typha orientalis","Native",5
108,"108_0","Submerged","Lagarosiphon_(Oxygen_Weed)","Lagarosiphon major","Non_Native",40
108,"108_0","Turf",NA,NA,NA,0
109,"109_0","Emergent",NA,NA,NA,0
109,"109_0","Submerged",NA,NA,NA,0
109,"109_0","Turf",NA,NA,NA,0
110,"110_0","Emergent",NA,NA,NA,0
110,"110_0","Submerged",NA,NA,NA,0
110,"110_0","Turf",NA,NA,NA,0
111,"111_0","Emergent","Raupō_(Bulrush)","Typha orientalis","Native",90
