"site_id","monitoring_id","date_time_out","net_type","amount_nets","species","scientific_name","species_name","maori_name","native/nonnative","taonga","amount","sex","length_mm","weight_g","soft_shelled","berried","youngs","cups","mL","notes"
110,"110_0",2024-11-01 11:49:59.99,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,171,66,NA,NA,NA,NA,NA,NA
110,"110_0",2024-11-01 11:49:59.99,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,150,37,NA,NA,NA,NA,NA,NA
110,"110_0",2024-11-01 11:49:59.99,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,124,24,NA,NA,NA,NA,NA,NA
110,"110_0",2024-11-01 11:49:59.99,"Fyke",2,"Common_smelt","Retropinna retropinna","Common_smelt","Common_smelt","Native","No",40,NA,NA,NA,NA,NA,NA,NA,NA,"Estimated"
110,"110_0",2024-11-01 11:49:59.99,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",40,NA,NA,NA,NA,NA,NA,NA,NA,"Estimated"
111,"111_0",2024-11-01 10:00:00,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",180,NA,NA,NA,NA,NA,NA,NA,NA,"Estimated"
111,"111_0",2024-11-01 10:00:00,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",200,NA,NA,NA,NA,NA,NA,NA,NA,"Estimated"
115,"115_0",2024-11-01 14:10:00,"Box",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",41,53,NA,NA,NA,NA,NA,NA
96,"96_0",2024-12-12 11:45:00,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",41,47,1,NA,NA,NA,NA,NA
111,"111_0",2024-11-01 10:00:00,"Box",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,"111_0",2024-11-01 10:00:00,"Box",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,105,11,NA,NA,NA,NA,NA,NA
111,"111_0",2024-11-01 10:00:00,"Box",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",41,46,NA,NA,NA,NA,NA,NA
114,"114_0",2024-11-01 11:30:00,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,80,3,NA,NA,NA,NA,NA,NA
114,"114_0",2024-11-01 11:29:59.995,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",50,NA,NA,NA,NA,NA,NA,NA,NA,"Estimated"
114,"114_0",2024-11-01 11:29:59.995,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,125,20,NA,NA,NA,NA,NA,NA
92,"92_0",2024-12-12 10:57:59.995,"Box",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",40.6,50,NA,NA,NA,NA,NA,NA
113,"113_0",2025-01-23 09:18:00,"Box",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"F",40.56,43,NA,NA,NA,NA,NA,NA
114,"114_0",2024-11-01 11:29:59.995,"Box",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",25,NA,NA,NA,NA,NA,NA,NA,NA,"Estimated"
114,"114_0",2024-11-01 11:29:59.995,"Fyke",2,"Common_smelt","Retropinna retropinna","Common_smelt","Common_smelt","Native","No",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,"114_0",2024-11-01 11:29:59.995,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",50,NA,NA,NA,NA,NA,NA,NA,NA,"Estimated"
73,"73_0",2025-01-17 11:29:59.995,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"F",40.02,40,1,NA,NA,NA,NA,NA
115,"115_0",2024-11-01 14:10:00,"Box",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",40,60,NA,NA,NA,NA,NA,NA
119,"119_0",2024-11-01 09:30:00,"Box",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",40,50,NA,NA,NA,NA,NA,NA
115,"115_0",2024-11-01 14:10:00,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",40,49,1,NA,NA,NA,NA,NA
115,"115_0",2024-11-01 14:10:00,"Box",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"F",40,44,NA,NA,NA,NA,NA,NA
111,"111_0",2024-11-01 10:00:00,"Box",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",40,42,1,NA,NA,NA,NA,NA
97,"97_0",2024-11-07 12:34:59.99,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",40,NA,NA,NA,NA,NA,NA,NA
92,"92_0",2024-12-12 10:57:59.995,"Box",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"F",39.82,44,NA,NA,NA,NA,NA,NA
73,"73_0",2025-01-17 11:29:59.995,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"F",39.8,19,NA,NA,NA,NA,NA,NA
76,"76_0",2025-01-16 08:22:00,"Box",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",39.44,49,NA,NA,NA,NA,NA,NA
96,"96_0",2024-12-12 11:45:00,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",39,49,NA,NA,NA,NA,NA,NA
115,"115_0",2024-11-01 14:10:00,"Box",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"96_0",2024-12-12 11:45:00,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",39,44,NA,NA,NA,NA,NA,NA
96,"96_0",2024-12-12 11:45:00,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",39,40,NA,NA,NA,NA,NA,NA
69,"69_0",2025-02-21 01:30:00,"Box",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"F",38.55,45,NA,NA,NA,NA,NA,NA
73,"73_0",2025-01-17 11:29:59.995,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",38.54,40,NA,NA,NA,NA,NA,NA
115,"115_0",2024-11-01 14:10:00,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",60,NA,NA,NA,NA,NA,NA,NA,NA,"Estimated"
115,"115_0",2024-11-01 14:10:00,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,225,154,NA,NA,NA,NA,NA,NA
115,"115_0",2024-11-01 14:10:00,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,206,226,NA,NA,NA,NA,NA,NA
73,"73_0",2025-01-17 11:29:59.995,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",38.53,37,NA,NA,NA,NA,NA,NA
66,"66_0",2025-02-21 12:20:00,"Box",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",38.04,35,1,NA,NA,NA,NA,NA
96,"96_0",2024-12-12 11:45:00,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"F",38,40,NA,NA,NA,NA,NA,NA
92,"92_0",2024-12-12 10:58:00,"Box",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"F",37.85,36,NA,NA,NA,NA,NA,NA
96,"96_0",2024-12-12 11:45:00,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",37,40,NA,NA,NA,NA,NA,NA
96,"96_0",2024-12-12 11:45:00,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",37,35,NA,NA,NA,NA,NA,NA
