"Lake","Variable","Unit","n","Mean","Median","Min","Max","CI_low","CI_high"
"Rotorua","Substrate index","",12,3.65833333333333,3.3,2.8,6.3,3.00729663035083,4.30937003631583
"Rotoiti","Substrate index","",12,3.92083333333333,3.2,2,8,2.72835409989405,5.11331256677261
"Rotoehu","Substrate index","",12,2.77083333333333,2.45,2,4.9,2.15207649870778,3.38959016795889
"Rotomā","Substrate index","",12,3.5,3.025,2,6.2,2.636547279652,4.363452720348
"Ōkāreka","Substrate index","",12,2.85833333333333,2.7,1,6.2,1.92396144594412,3.79270522072255
"All lakes","Substrate index","",60,3.34166666666667,3,1,8,2.97776999502918,3.70556333830416
"Rotorua","Slope 5m","",12,0.024303292856202,0.00857739122783205,0.00567050386346284,0.161796673703308,-0.00412696395619951,0.0527335496686036
"Rotoiti","Slope 5m","",12,0.0926524251161651,0.0655510017538072,0.0350396122081481,0.302997666536485,0.044543331349403,0.140761518882927
"Rotoehu","Slope 5m","",12,0.0782040605048988,0.0605402963080073,0.0206312103893389,0.272258868530851,0.0323482912549566,0.124059829754841
"Rotomā","Slope 5m","",12,0.0739005872515811,0.0573815869709872,0.00614026846175231,0.225877564398719,0.0333696101400955,0.114431564363067
"Ōkāreka","Slope 5m","",12,0.112326519445632,0.12815284712292,0.0122312616650089,0.197640255239775,0.0728939278192795,0.151759111071985
"All lakes","Slope 5m","",60,0.0762773770348959,0.0619928888255894,0.00567050386346284,0.302997666536485,0.0584540759510958,0.0941006781186959
"Rotorua","Riparian vegetation","%",12,67.5,100,0,100,40.1214034933829,94.8785965066171
"Rotoiti","Riparian vegetation","%",12,92.5,100,20,100,77.8789651045751,107.121034895425
"Rotoehu","Riparian vegetation","%",12,67.5,100,0,100,36.9535581430999,98.0464418569001
"Rotomā","Riparian vegetation","%",12,63.3333333333333,90,0,100,35.1348208147456,91.531845851921
"Ōkāreka","Riparian vegetation","%",12,75.8333333333333,100,0,100,48.0115093732693,103.655157293397
"All lakes","Riparian vegetation","%",60,73.3333333333333,100,0,100,62.64864736192,84.0180193047466
"Rotorua","Overhanging trees","%",12,46.6666666666667,30,0,100,15.500759505668,77.8325738276653
"Rotoiti","Overhanging trees","%",12,54.1666666666667,65,0,100,23.2223383994442,85.1109949338892
"Rotoehu","Overhanging trees","%",12,35.8333333333333,0,0,100,5.24686991736703,66.4197967492996
"Rotomā","Overhanging trees","%",12,52.5,55,0,100,22.4379724575037,82.5620275424963
"Ōkāreka","Overhanging trees","%",12,52.5,65,0,100,21.7142091998181,83.2857908001819
"All lakes","Overhanging trees","%",60,48.3333333333333,30,0,100,36.1499885557238,60.5166781109429
"Rotorua","Wood cover","%",12,8.33333333333333,3.5,0,30,1.97771138897131,14.6889552776954
