"model","aic_full","aic_reduced","lrt_chisq","lrt_df","lrt_p","dev_full","dev_reduced","dev_final","r2_full","r2_reduced","r2_final"
"Occupancy",50.8946352017409,49.9982085390161,6.41059810642429,3.93178375548376,0.164518394963844,64.9952643045225,57.2320558032355,57.9148653724986,0.646959005660436,0.588232515961478,0.591661232982319
"CPUE (pos)",122.249746636,115.059760878464,0.402690968581688,3.85176914541003,0.950207700829389,48.3728993763305,47.3493055356727,47.266298602267,0.191329992735533,0.194324499353782,0.195471926959592
"BPUE (pos)",265.730624903571,318.231636280107,32.4721947808989,27.4784045807597,1.32344895646015e-25,97.3754847763099,25.9738347232788,25.8965712102949,0.757749298500315,0.141012265804198,0.141649052692561
